,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
0,"NRI Institute of Medical Sciences, Sangivalasa",Majjivalasa,Andhra Pradesh,MBBS,5.5 years,Full time,150,UG,12.12 lakhs,(MCI) Medical Council of India,"1- Candidate must complete the age of 17 years on or before 31st December, of the year of admission to the MBBS course.
2. H.S.C / (+2) or equivalent qualification with English, Physics, Chemistry and Biology/Botany and Zoology with minimum marks as per MCI norms.","Bachelor of Medicine and Bachelor of Surgery (MBBS) course is the duration of 5.5 years, which include 4.5 years of curriculum plus 1 year of rotating internship. affiliated with Dr. NTR University of Health Sciences, Vijayawada and approved by Medical Council of India."
1,"Shri Ramkrishna Institute of Medical Sciences, Durgapur",Durgapur,West Bengal,MBBS,5.5 years,Full time,150,UG,,(MCI) Medical Council of India,"1. Candidate must  complete the age of 17 years on or before 31st December, of the year of admission to the MBBS course.
2. H.S.C / (+2) or equivalent qualification with English, Physics, Chemistry and Biology/Botany and Zoology with minimum marks as per MCI norms.","This is a full time five and half year course affiliated to West Bengal University of Health Sciences, Kolkata and approved by MCI."
2,"Gouri Devi Institute of Medical Sciences and Hospital, Durgapur",Rajbandh,West Bengal,MBBS,5.5 years,Full time,150,UG,36.5 lakhs,(MCI) Medical Council of India,"Candidates who have passed HS examination (Academic Stream of 10+2 curriculum) of any State/CBSE/ICSE or any other examination recognized as equivalent thereto, with the group subjects specified below and obtained the minimum eligible marks of 50% in Physics, Chemistry & Biology taking together and pass in English in the qualifying examination.
Age Limit-
Candidates should have completed 17 years of age as on 31st December of the academic year. Date of birth given in the Mark Sheet/Admit Card of any recognized board or council or in the Birth Certificate/Passport shall be taken for computing age of the candidate.","The MBBS course is offered at Gouri Devi Institute of Medical Sciences and Hospital, Durgapur. Its duration is five and a half years plus one year of compulsory rotating internship course."
3,"Vokkaligara Sangha Dental College and Hospital, Bengaluru",Bengaluru,Karnataka,Diploma Orthodontics,2 years,Full time,,Diploma,,,,
4,"Vokkaligara Sangha Dental College and Hospital, Bengaluru",Bengaluru,Karnataka,Diploma in Conservative Dentistry,2 years,Full time,3,Diploma,,(DCI) Dental Council of India,,
5,"Vokkaligara Sangha Dental College and Hospital, Bengaluru",Bengaluru,Karnataka,Diploma in Oral Surgery,2 years,Full time,1,Diploma,,(DCI) Dental Council of India,,
6,"Educare Institute of Dental Sciences, Malappuram",Kodur,Kerala,BDS,5 years,Full time,100,UG,11.6 lakhs,(DCI) Dental Council of India,Candidate should have passed 10+2 with minimum 50% marks in PCB and pass marks in English.,"Bachelor of Dental Surgery (BDS) course is the duration of 5 years, which include 4 years of curriculum plus 1 year of rotating internship. affiliated with Kerala University of Health Sciences, Thrissur and approved by Dental Council of India."
7,"Indira Gandhi Institute of Dental Sciences, Pillaiyarkuppam",Pillayarkuppam,Tamil Nadu,BDS,5 years,Full time,100,UG,16 lakhs,(DCI) Dental Council of India,"Candidates for admission to the first year BDS Degree Course should have passed the H.Sc. (Academic) examination conducted by the Board of Higher Examination of Tamil Nadu or any other equivalent examination with a minimum of 50% aggregate marks (40% for SC) in the following subjects English, Physics, Chemistry, Biology (Botany & Zoology).","The admission to the BDS course is in accordance with the regulation of the Dental Council of India, New Delhi, Government of Pondicherry and the Sri Balaji Vidyapeeth University. Intake of BDS Students is 100."
8,"Panineeya Institute of Dental Sciences and Research Centre, Hyderabad",Hyderabad,Telangana,BDS,5 years,Full time,100,UG,16 lakhs,(DCI) Dental Council of India,"Candidates for admission to BDS course must have passed Intermediate Public Examinations i.e. 10 + 2 with subjects of Physics, Chemistry, Biology, Zoology and English individually and must have obtained a minimum of 50% marks (Science subjects) and should have qualified EAMCET Entrance and selection on merit basis through Counseling. Candidates seeking admission under NRI / Foreigner Quota are eligible for direct admission and there is no need to take any Entrance Examination with minimum of 50% of marks of Intermediate i.e. 10+2 (with science subjects).","Bachelor of Dental Surgery is five years full time course. Affiliated to Dr NTR University of Health Sciences, Vijayawada and approved by DCI. fees per year 1 A category (50%)- Rs.45,000/- 2 B category (35%)- Rs.4,00,000/- 3 C category (15%)- Rs.5,00,000/-"
9,"Panineeya Institute of Dental Sciences and Research Centre, Hyderabad",Hyderabad,Telangana,Master of Dental Surgery (MDS),3 years,Full time,21,PG,,(DCI) Dental Council of India,BDS,<p>This is a five year full time course offers by Panineeya Mahavidyalaya Institute of Dental Science &amp; Research Centre</p>
