,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
0,"Mewar University, Chittorgarh",Nolagadri Ka Khera,Rajasthan,Executive MBA Collaboration with ITDC,1.53 years,Full time,,PG,,,The candidate should have passed Graduation in hotel management with two years working experience.,MBA Executive Collaboration with ITDC in the subjects Hospitality and Tourism Management is one year (2 semesters) program.
1,"Maharishi Arvind Institute of Engineering and Technology, Jaipur",Jaipur,Rajasthan,BHM,4 years,Full time,90,UG,,,The candidate should have passed in 10+2 or its equivalent from any recognized Board / University,"This is a four year full time programme leading to a Management Degree in Hotel Management from the Rajasthan Technical University ,Kota"
2,"Institute of Hotel Management Catering Technology and Applied Nutrition, Bhubaneswar",Bhubaneshwar,Odisha,Post graduate Diploma in Accommodation Operation Management,1.5 years,Full time,30,PG,,NCHMCT,Graduation in any Stream with English as a Subject. Upper Age Limit 25,"<p>ccommodation operation and management is a responsible hob with an attractive image. It is especially suitable for people who enjoy meeting and dealing with people. The job involves the sale of rooms so as to maximize office and the entire hotel. It has two departments, the front office and Housekeeping. The front office is involved in the sale of rooms throu...See More"
3,"Amity School of Distance Learning, Noida",Noida,Uttar Pradesh,Post Graduate Diploma in Hospital Administration,1 year,Distance,,Diploma,0.647 lakhs,UGC,"Applicant Must Possess Sufficient Knowledge and understanding of ENGLISH LANGUAGE & COMMUNICATION.
Candidates whose first Language is not English must have done at least past three (3) Years of Academic Qualification Under English Medium.",This is one-year (2 semesters) program offering comprehensive study of a wide range of theoretical concepts and functional areas in Hospital Administration.
4,"Amity School of Distance Learning, Noida",Noida,Uttar Pradesh,Post Graduate Diploma in Hospitality Management,1 year,Distance,,Diploma,0.647 lakhs,UGC,"Applicant Must Possess Sufficient Knowledge and understanding of ENGLISH LANGUAGE & COMMUNICATION.
Candidates whose first Language is not English must have done at least past three (3) Years of Academic Qualification Under English Medium.",This is one-year (2 semesters) program offering comprehensive study of a wide range of theoretical concepts and functional areas in Hospitality Management.
5,"Administrative Management College, Bangalore",Bengaluru,Karnataka,BHM,4 years,Full time,,UG,2 lakhs,(AICTE) All India Council of Technical Education,The candidate should have passed in 10+2 with relevant subject.,"This is a full-time four-year course affiliated to Bangalore University, Bangalore and approved by University Grants Commission."
6,"Guru Nanak Institute of Hotel Management, Kolkata",Kolkata,West Bengal,BA international Culinary arts,3 years,Full time,,UG,4.25 lakhs,UGC,"Higher secondary( 10+2) appeared or passed can apply ( any stream arts, science, commerce). ","BA in international Culinary arts + Top class certificate from the USA + Abroad International Internship training + International or National placement. This program affiliated with Maulana Abul Kalam Azad University of Technology, Kolkata and approved by UGC. "
7,"Guru Nanak Institute of Hotel Management, Kolkata",Kolkata,West Bengal,BBA Advanced Hospitality and Hotel Management,6 years,Full time,,UG,4.25 lakhs,UGC,"Higher secondary( 10+2) appeared or passed can apply ( any stream arts, science, commerce).","BBA in Advanced Hospitality and Hotel Management + Top class certificate from the USA + Abroad International Internship training + International or National placement.This program affiliated with Maulana Abul Kalam Azad University of Technology, Kolkata and approved by UGC."
8,"Guru Nanak Institute of Hotel Management, Kolkata",Kolkata,West Bengal,BHMCT,4 years,Full time,60,UG,4.75 lakhs,(AICTE) All India Council of Technical Education,"Higher secondary( 10+2) appeared or passed can apply ( any stream arts, science, commerce).",This is four-year full-time Bachelor Degree in Hotel Management and Catering Technology course affiliated to the West Bengal University of Technology and approved by the AICTE and UGC. Bachelor Degree in Hotel Management and Catering Technology + Top class certificate from the USA + Abroad International Internship training + International or National placement.
9,"Guru Nanak Institute of Hotel Management, Kolkata",Kolkata,West Bengal,BHSM Hons,4 years,Full time,,UG,4.75 lakhs,NCHMCT,"Higher secondary( 10+2) appeared or passed can apply ( any stream arts, science, commerce).",Bachelor Degree in Hospitality Management is a four-year full-time course approved by UGC and NCHMCT. Bachelor Degree in Hospitality Management ( H)+ Top class certificate from the USA + Abroad International Internship training + 100% International or National placement.
10,"Guru Nanak Institute of Hotel Management, Kolkata",Kolkata,West Bengal,Diploma in Hotel Operation,1 year,Full time,,Diploma,1.86 lakhs,,10+2 or Equivalent,Diploma in Hotel operation Top class certificate from the USA + Abroad International Internship training + International or National placement. it is one year (2 Semesters) diploma program.
11,"Mangalore University, Mangalore",Phajeer,Karnataka,M.B.A. Tourism Administration,2 years,Full time,31,PG,0.435 lakhs,UGC,"Eligibility for admission to Master of Business Administration Tourism Administration shall be a pass in any bachelors degree examination of Mangalore University or other University considered as equivalent thereto with not less than 40% in respect of Scheduled Castes, Scheduled Tribes and category- I candidates and not less than 45% of the aggregate including language subjects in all the years of course of study for others.",Business Administration at Mangalore University was founded in 1981 and 28 batches have passed out from its portal. Top priority is accorded here towards the creation of management graduates with strong fundamentals and firm basics of management.
12,"Government Ramnarayan Chellaram College of Commerce and Management, Bangalore",Bengaluru,Karnataka,Master of Tourism Administration,2 years,Full time,,PG,,UGC,"Candidates who have passed the Bachelor‘s / Master‘s Degree examination of this University or of any other University recognized as equivalent thereto and has secured not less than 50% of the marks in the aggregate in Arts, Science, Commerce, Management, Social Sciences, Engineering/Technology courses shall be eligible for admission to the course. In the case of SC/ST/Cat-I students and blind students the minimum percentage of marks required shall be less by 5%.","The course of study for M.T.A, degree shall extend over a period of two years divided into 4 (four) semesters. Medium of Instruction: The medium of instruction shall be English. The broad ive of the Master of Tourism Administration course is to impart to the Students, professional education and training in various aspects of business and its environment and provide th...See More"
13,"T John College, Bangalore",Bengaluru,Karnataka,BHM,4 years,Full time,120,UG,2.8 lakhs,(AICTE) All India Council of Technical Education,A pass in 10+2/XII std. PUC etc. in any combination.,Bachelor of Hotel Management is a four-year full-time course approved by AICTE.
14,"Kumaun University, Nainital",Nainital,Uttarakhand,BBA Tourism and Hospitality Management Self Financed,3 years,Full time,,UG,0.69 lakhs,UGC,,"Master of Business Administration in Tourism and Hospitality Management Self Financed is a full-time three-year course degree offered by Kumaun University, Nainital and approved by UGC."
15,"Kumaun University, Nainital",Nainital,Uttarakhand,MBA Tourism Self Financed,2 years,Full time,,PG,1.04 lakhs,UGC,The candidate should have passed in the relevant graduate degree in any recognized university.,"Master of Business Administration in Tourism Self Financed is a full-time two-year course degree offered by Kumaun University, Nainital and approved by UGC."
16,"Kumaun University, Nainital",Nainital,Uttarakhand,PGD Tourism and Hospitality,1 year,Full time,,Diploma,,UGC,The candidate should have passed in the relevant graduate degree in any recognized university.,"Postgraduate Diploma in Tourism and Hospitality is full time one year course degree offered by Kumaun University, Nainital and approved by UGC."
17,"Suresh Gyan Vihar University, Jaipur",Jaipur,Rajasthan,BHMCT,4 years,Full time,,UG,2.99 lakhs,UGC,The candidate should have passed in 10+2 with 45%,"Bachelor of Hotel Management & Catering Technology (BHMCT) is four years full-time course offered by Suresh Gyan Vihar University, Jaipur."
18,"NIPS School of Hotel Management, Kolkata",Kolkata,West Bengal,"BA Hotel Management, Catering and Tourism",3 years,Full time,,UG,,"UGC-AICTE-DEC, Ministry of HRD, Govt. of India",The applicant should have passed 10+2 or its equivalent examination.,"Bachelor Degree Course - 3 years B.A in Hotel Management, Catering, and Tourism from University approved by Joint Committee (UGC-AICTE-DEC), Ministry of HRD, Govt. of India."
19,"NIPS School of Hotel Management, Kolkata",Kolkata,West Bengal,BHM,3 years,Full time,,UG,,"West Bengal State Council for Technical Education, Government of West Bengal, Ministry of Tourism. Govt. of India",The applicant should have passed 10+2 or its equivalent examination.,"Bachelor Degree Course - 3 years Bachelor in Hospitality Management from West Bengal University of Technology (WBUT), Govt. of West Bengal"
20,"NIPS School of Hotel Management, Kolkata",Kolkata,West Bengal,Diploma in Hotel Management and Catering Technology,3 years,Full time,60,Diploma,,(AICTE) All India Council of Technical Education,The applicant should have passed Class 10 or its equivalent examination.,"Diploma in Hotel Management Catering Technology is a three-years full-time diploma approved by AICTE, Govt. of India, awarded by West Bengal State Council of Technical Education. Govt. of West Bengal"
21,"NIPS School of Hotel Management, Kolkata",Kolkata,West Bengal,MHM,2 years,Full time,,PG,,(AICTE) All India Council of Technical Education,Graduation (any stream),"Master Degree - 2 years Master in Hotel Management from University approved by Joint Committee (UGC-AICTE-DEC), Ministry of HRD, Govt. of India."
22,"Institute of Hotel Management, Faridabad",Faridabad,Haryana,Post Graduate Diploma in Accommodation Operation and Management,1.5 years,Full time,20,PG,0.42 lakhs,NCHMCT," Minimum Qualification for Admission to PGAO&M is Graduation in any stream from a recognize University.Minimum qualification for admission to Diploma Courses in Food Production and Food & Beverage Service is a clear pass in the final examination of 10+2 system of Senior Secondary Examination or its equivalent, with English. Admission will be subject to verification of facts from the original certificates / documents to be produced by the candidates. Decision of the institute regarding the eligibility shall be final. Even after admission to the Institute if an applicant is at a later date found ineligible on account of supplying false information of false testimonials or for having suppressed any material information, his / her admission will be cancelled and the fee paid will also be forfeited.Age Limit for Admission to Diploma Courses25 years for General / PH and 28 years for SC / BC candidates as on 1.7.2014. Candidates belonging to General and Physically Handicapped Categories whose date of birth falls on or after 1.7.1989 are eligible. In the case of Scheduled Caste and Backward Class candidates, upper age limit is relax-able by 3 years. For those two categories (SC & BC) candidates born on or after 1.7.1986 will be eligible. Date of birth as recorded in the Secondary Education Board / Pre-University Certificate is the only authentic proof that will be accepted. At the time of interview, this certificate must be produced in original as a proof of age failing which the candidate will not be considered for interview.","<p>&nbsp;Post Graduate Diploma in Accommodation Operation &amp; Management is aimed at equipping trainees with knowledge, attitude &amp; skill for fundamentals of Front Office procedures / Housekeeping for effective discharge of duties &amp; responsibilities while working in hotels / other hospitality establishments. The two semester course of 17...See More"
