,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
0,"Amazon Institute of Hotel Tourism and Management, Dehradun",Dehradun,Uttarakhand,BHM,4 years,Full time,,UG,,UGC,The candidate should have passed in 10+2 relevant subject for any recognized board.,"Bachelors in Hotel Management is a four year full time course affiliated to Uttarakhand Open University, Haldwani and approved by UGC."
1,"Amazon Institute of Hotel Tourism and Management, Dehradun",Dehradun,Uttarakhand,Bachelor of Tourism Studies,3 years,Full time,,UG,,UGC,The candidate should have passed in 10+2 relevant subject for any recognized board.,"Bachelor of Tourism Studies is a three year full time course affiliated to Uttarakhand Open University, Haldwani and approved by UGC."
2,"Amazon Institute of Hotel Tourism and Management, Dehradun",Dehradun,Uttarakhand,Diploma in Hotel Management,1 year,Full time,,Diploma,,UGC,The candidate should have passed in 10+2 relevant subject for any recognized board.,"Diploma in Hotel Management is a one year full time course affiliated to Uttarakhand Open University, Haldwani and approved by UGC."
3,"Amazon Institute of Hotel Tourism and Management, Dehradun",Dehradun,Uttarakhand,Diploma in Tourism Studies,1 year,Full time,,Diploma,,UGC,The candidate should have passed in 10+2 relevant subject for any recognized board.,"Diploma in Tourism Studies is a one year full time course affiliated to Uttarakhand Open University, Haldwani and approved by UGC."
4,"Amazon Institute of Hotel Tourism and Management, Dehradun",Dehradun,Uttarakhand,MHM,2 years,Full time,,PG,,UGC,The candidate should have passed in Bachelors in Hotel Management.,"Master of Hotel Management is a two year full time course affiliated to Uttarakhand Open University, Haldwani and approved by UGC."
5,"Annpurna Food Craft Institute, Chamba",Chamba,Uttarakhand,BBA Hotel Management,3 years,Full time,,UG,,,The candidate should have passed in 10+2 relevant subject for any recognized board.,"Bachelor of Business Administration in Hotel Management is a three year full time course affiliated to Uttarakhand Open University, Haldwani."
6,"Annpurna Food Craft Institute, Chamba",Chamba,Uttarakhand,Bachelor of Tourism Studies,3 years,Full time,,UG,,,The candidate should have passed in 10+2 relevant subject for any recognized board.,"Bachelor of Tourism Studies is a three year full time course affiliated to Uttarakhand Open University, Haldwani."
7,"Annpurna Food Craft Institute, Chamba",Chamba,Uttarakhand,Diploma in Hotel Management,1 year,Full time,,Diploma,,,The candidate should have passed in 10th relevant subject for any recognized board.,"Diploma in Hotel Management is a one year full time course affiliated to Uttarakhand Open University, Haldwani."
8,"Annpurna Food Craft Institute, Chamba",Chamba,Uttarakhand,Diploma in Tourism Studies,1 year,Full time,,Diploma,,,The candidate should have passed in 10th relevant subject for any recognized board.,"Diploma in Tourism Studies is a one year full time course affiliated to Uttarakhand Open University, Haldwani."
9,"Dreamshapers Institute of Management Studies, Haldwani",Haldwani,Uttarakhand,Diploma in Hotel Management,1.5 years,Full time,,Diploma,,,Minimum qualification for this course is (10+2) with any subjects / 3 year Diploma in any discipline. However Students who have done their graduation may also register for the program.,"18 Months program (12 months campus classes and 6 months Industrial training).
80% attendance in each module is mandatory to participate in exams."
10,"Fusion Institute of Hotel Management, Dehradun",Dehradun,Uttarakhand,MBA Hotel Management,2 years,Full time,,PG,,,The candidate should have passed in graduation relevant subject for any recognized university.,"Master of Business Administration Management Hotel Management is a two year full time course affiliated to IK Gujral Punjab Technical University, Jalandhar."
